play_uuid,gameId,playId,ballCarrierId,ballCarrierDisplayName,playDescription,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,passResult,passLength,penaltyYards,prePenaltyPlayResult,playResult,playNullifiedByPenalty,absoluteYardlineNumber,offenseFormation,defendersInTheBox,passProbability,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,homeTeamWinProbabilityAdded,visitorTeamWinProbilityAdded,expectedPoints,expectedPointsAdded,foulName1,foulName2,foulNFLId1,foulNFLId2,converted,blocked,playType,ballDirection,timestamp,cumulativeOverall_O,cumulativeOverall_D,cumulativeOverall_P,cumulativePerFormation_O,cumulativePerFormation_D,cumulativePerFormation_P,cumulativePerBoxCt_O,cumulativePerBoxCt_D,cumulativePerBoxCt_P
2022090800.2884,2022090800,2884,43399,Tyler Higbee,(11:38) (Shotgun) M.Stafford pass short left to T.Higbee to LA 43 for 4 yards (M.Milano).,4,3,3,LAR,BUF,LA,39,11:38,10,24,C,3.0,,4,4,N,71,EMPTY,5.0,0.895736694,0.055421064,0.944578936,0.011310143,-0.011310143,0.952213184,1.264214718,,,,,1,0,pass,left,2022-09-08 22:35:37.200000,0.3,0.7,1.0,0.5,0.5,1.0,0.375,0.625,1.0
2022090800.2979,2022090800,2979,42489,Stefon Diggs,"(9:33) (Shotgun) J.Allen pass deep right to S.Diggs for 53 yards, TOUCHDOWN.",4,3,4,BUF,LAR,BUF,47,9:33,10,24,C,52.0,,53,53,N,57,SHOTGUN,5.0,0.849081695,0.024881311,0.975118689,-0.018801059,0.018801059,1.358425509,5.641574491,,,,,1,0,pass,right,2022-09-08 22:40:56.299999,0.47619047619047616,0.5238095238095238,0.5,0.45161290322580644,0.5483870967741935,0.4,0.5,0.5,0.0
2022090800.3121,2022090800,3121,43399,Tyler Higbee,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].,4,3,10,LAR,BUF,LA,24,8:50,10,31,C,6.0,,9,9,N,86,SHOTGUN,6.0,0.982739806,0.003734222,0.996265778,-0.000402778,0.000402778,0.017565875,-0.20068113,,,,,0,1,pass,right,2022-09-08 22:48:56.799999,0.3125,0.6875,1.0,0.25,0.75,0.0,0.19047619047619047,0.8095238095238095,0.0
2022090800.3383,2022090800,3383,44881,Cooper Kupp,"(4:33) (No Huddle, Shotgun) M.Stafford pass short right to C.Kupp to LA 34 for 8 yards (K.Elam) [C.Basham].",4,3,2,LAR,BUF,LA,26,4:33,10,31,C,6.0,,8,8,N,84,SHOTGUN,6.0,0.803623974,0.002628938,0.997371062,-8.38e-05,8.38e-05,0.56618204,0.883672541,,,,,1,0,pass,right,2022-09-08 22:57:11.400000,0.3157894736842105,0.6842105263157895,0.3,0.2777777777777778,0.7222222222222222,0.16666666666666666,0.2,0.8,0.25
2022090800.3576,2022090800,3576,44881,Cooper Kupp,(2:16) (Shotgun) M.Stafford pass short left to C.Kupp to BUF 12 for 28 yards (M.Hyde).,4,3,6,LAR,BUF,BUF,40,2:16,10,31,C,-1.0,,28,28,N,50,SHOTGUN,6.0,0.985791445,0.002448552,0.997551448,0.000563297,-0.000563297,2.338847532,2.496654484,,,,,1,0,pass,left,2022-09-08 23:03:10.799999,0.3488372093023256,0.6511627906976745,0.36363636363636365,0.34782608695652173,0.6521739130434783,0.2857142857142857,0.23076923076923078,0.7692307692307693,0.4
2022090800.364,2022090800,364,44881,Cooper Kupp,(8:25) (Shotgun) M.Stafford pass deep right to C.Kupp ran ob at LA 42 for 23 yards (J.Poyer).,1,3,8,LAR,BUF,LA,19,8:25,0,7,C,22.0,,23,23,N,29,SHOTGUN,6.0,0.980240405,0.251889708,0.748110292,0.062175455,-0.062175455,-0.666245977,3.124381494,,,,,1,0,pass,right,2022-09-08 20:35:17.400000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2022090800.486,2022090800,486,44881,Cooper Kupp,"(5:53) (No Huddle, Shotgun) M.Stafford pass short right to C.Kupp to BUF 45 for 6 yards (J.Poyer).",1,3,14,LAR,BUF,LA,49,5:53,0,7,C,6.0,,6,6,N,59,EMPTY,5.0,0.972818732,0.27201245,0.72798755,-0.016077686,0.016077686,0.82571945,-1.041838478,,,,,0,1,pass,right,2022-09-08 20:37:56.299999,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2022090800.569,2022090800,569,42489,Stefon Diggs,(3:46) (Shotgun) J.Allen pass short right to S.Diggs to BUF 25 for 10 yards (N.Scott).,1,3,4,BUF,LAR,BUF,15,3:46,0,7,C,8.0,,10,10,N,95,SHOTGUN,6.0,0.94371891,0.252112214,0.747887786,-0.025672609,0.025672609,-0.769597428,2.012058524,,,,,1,0,pass,right,2022-09-08 20:42:59.400000,0.4,0.6,0.5,0.2,0.8,0.0,0.3333333333333333,0.6666666666666666,0.5
2022090800.818,2022090800,818,47853,Darrell Henderson,"(15:00) (Shotgun) M.Stafford pass short left to D.Henderson to LA 31 for 1 yard (M.Hyde, C.Benford) [E.Oliver].",2,3,4,LAR,BUF,LA,30,15:00,0,7,C,-4.0,,1,1,N,80,EMPTY,6.0,0.956909001,0.2504202,0.7495798,-0.017526757,0.017526757,0.215740964,-1.372731457,,,,,0,1,pass,left,2022-09-08 20:53:25.500000,0.25,0.75,0.0,0.5,0.5,0.0,0.2,0.8,0.0
2022091100.1191,2022091100,1191,42344,Jameis Winston,(11:02) (Shotgun) J.Winston scrambles left tackle to NO 32 for 3 yards (G.Jarrett).,2,3,6,NO,ATL,NO,29,11:02,10,7,R,,,3,3,N,39,SHOTGUN,6.0,0.979766965,0.464486804,0.535513196,0.028272435,-0.028272435,0.452064611,-0.990637998,,,,,0,1,not_pass,left,2022-09-11 13:57:46.700000,0.2727272727272727,0.7272727272727273,0.0,0.6,0.4,0.0,0.0,1.0,0.0
2022091100.121,2022091100,121,48723,Parker Hesse,(13:41) (Shotgun) M.Mariota pass short middle to P.Hesse to ATL 47 for 5 yards (P.Williams).,1,3,4,ATL,NO,ATL,42,13:41,0,0,C,1.0,,5,5,N,52,SHOTGUN,6.0,0.679818034,0.301111888,0.698888112,0.031911325,-0.031911325,1.101519333,1.691266364,,,,,1,0,pass,middle,2022-09-11 13:06:53.700000,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022091100.1359,2022091100,1359,45355,Anthony Firkser,(7:33) (Shotgun) M.Mariota pass short right to A.Firkser to ATL 39 for 6 yards (B.Roby).,2,3,9,ATL,NO,ATL,33,7:33,10,7,C,4.0,,6,6,N,77,EMPTY,6.0,0.972516775,0.486403082,0.513596918,-0.044846401,0.044846401,0.352547678,-1.059261719,,,,,0,1,pass,right,2022-09-11 14:05:13.000000,0.5,0.5,0.0,0.0,1.0,0.0,0.8,0.2,0.0
2022091100.2090,2022091100,2090,54476,Chris Olave,(13:46) (Shotgun) J.Winston pass short left to C.Olave to NO 42 for 11 yards (D.Alford) [L.Carter].,3,3,4,NO,ATL,NO,31,13:46,16,7,C,11.0,,11,11,N,79,SHOTGUN,6.0,0.951164603,0.689831059,0.310168941,-0.045735445,0.045735445,0.387080276,2.075822468,,,,,1,0,pass,left,2022-09-11 14:45:06.200000,0.2222222222222222,0.7777777777777778,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0
2022091100.2245,2022091100,2245,54476,Chris Olave,(10:01) (Shotgun) J.Winston pass short right to C.Olave to ATL 31 for 10 yards (D.Alford).,3,3,19,NO,ATL,ATL,41,10:01,16,7,C,7.0,,10,10,N,51,SHOTGUN,4.0,0.938674808,0.680004336,0.319995664,0.015966982,-0.015966982,1.211277653,0.459011733,,,,,0,1,pass,right,2022-09-11 14:49:29.000000,0.30434782608695654,0.6956521739130435,1.0,0.38461538461538464,0.6153846153846154,1.0,0.0,0.0,0.0
2022091100.2555,2022091100,2555,37101,Mark Ingram,"(5:23) (Shotgun) J.Winston pass short right to M.Ingram to NO 45 for 1 yard (J.Hawkins, M.Walker) [T.Graham]. FUMBLES (M.Walker), RECOVERED by ATL-R.Evans at NO 46. R.Evans to NO 36 for 10 yards (C.Ruiz).",3,3,6,NO,ATL,NO,44,5:23,23,10,C,-6.0,,1,-8,N,66,SHOTGUN,7.0,0.980360568,0.822113901,0.177886099,0.097611882,-0.097611882,1.399380069,-5.257883256,,,,,0,1,pass,right,2022-09-11 15:03:42.599999,0.3076923076923077,0.6923076923076923,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.36363636363636365,0.6363636363636364,1.0
2022091100.2683,2022091100,2683,42345,Marcus Mariota,"(3:23) (No Huddle, Shotgun) M.Mariota scrambles left end to NO 5 for 9 yards (T.Mathieu, M.Maye). FUMBLES (M.Maye), RECOVERED by NO-T.Mathieu at NO 5.",3,3,5,ATL,NO,NO,14,3:23,23,10,R,,,9,9,N,96,SHOTGUN,6.0,0.937696457,0.932778703,0.067221297,-0.049078377,0.049078377,4.198413373,-4.140007262,,,,,1,0,not_pass,left,2022-09-11 15:06:52.799999,0.47368421052631576,0.5263157894736842,0.4,0.375,0.625,0.0,0.7142857142857143,0.2857142857142857,0.0
2022091100.3310,2022091100,3310,54473,Drake London,(10:26) (Shotgun) M.Mariota pass short left to D.London to ATL 42 for 13 yards (K.Elliss).,4,3,6,ATL,NO,ATL,29,10:26,26,18,C,11.0,,13,13,N,81,PISTOL,5.0,0.959483624,0.828668155,0.171331845,0.051251184,-0.051251184,0.215364964,1.978507541,,,,,1,0,pass,left,2022-09-11 15:36:41.000000,0.45652173913043476,0.5434782608695652,0.75,0.5789473684210527,0.42105263157894735,1.0,0.5,0.5,1.0
2022091100.3379,2022091100,3379,39975,Cordarrelle Patterson,"(8:12) (Shotgun) C.Patterson right tackle to 50 for 1 yard (S.Tuttle, C.Jordan).",4,3,3,ATL,NO,ATL,49,8:12,26,18,,,,1,1,N,61,SHOTGUN,7.0,0.426968753,0.888344675,0.111655325,-0.023668926,0.023668926,1.575731566,-1.644071443,,,,,0,1,not_pass,right,2022-09-11 15:38:50.099999,0.4489795918367347,0.5510204081632653,0.42857142857142855,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.36,0.64,0.3076923076923077
2022091100.3526,2022091100,3526,43336,Michael Thomas,(6:07) (Shotgun) J.Winston pass deep left to M.Thomas to ATL 38 for 21 yards (A.Terrell).,4,3,3,NO,ATL,NO,41,6:07,26,18,C,19.0,,21,21,N,51,SHOTGUN,6.0,0.926025212,0.832599789,0.167400211,-0.074536942,0.074536942,1.188439897,2.388450057,,,,,1,0,pass,left,2022-09-11 15:43:03.900000,0.35294117647058826,0.6470588235294118,0.0,0.42857142857142855,0.5714285714285714,0.0,0.25,0.75,0.0
2022091100.4266,2022091100,4266,39975,Cordarrelle Patterson,(:10) (Shotgun) M.Mariota pass short left to C.Patterson to ATL 35 for 10 yards (D.Davis).,4,3,10,ATL,NO,ATL,25,0:10,26,27,C,5.0,,10,10,N,85,SHOTGUN,4.0,0.550948381,0.055471502,0.944528498,-7.59e-05,7.59e-05,0.057918181,0.073076056,,,,,1,0,pass,left,2022-09-11 16:08:39.500000,0.4107142857142857,0.5892857142857143,0.4,0.35714285714285715,0.6428571428571429,0.25,0.0,1.0,0.0
2022091100.458,2022091100,458,48374,Olamide Zaccheaus,(8:34) (Shotgun) M.Mariota pass short left to O.Zaccheaus to ATL 26 for 5 yards (M.Maye).,1,3,10,ATL,NO,ATL,21,8:34,3,0,C,-2.0,,5,5,N,31,EMPTY,5.0,0.969722092,0.373890243,0.626109757,-0.016262863,0.016262863,-0.740923941,-0.946102963,,,,,0,1,pass,left,2022-09-11 13:24:16.900000,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022091100.546,2022091100,546,45244,Taysom Hill,(6:33) (Shotgun) T.Hill right end ran ob at ATL 11 for 57 yards (C.Hayward).,1,3,1,NO,ATL,NO,32,6:33,3,0,,,,57,57,N,78,SHOTGUN,8.0,0.121246152,0.3605577,0.6394423,-0.103410551,0.103410551,1.978941821,3.198945612,,,,,1,0,not_pass,right,2022-09-11 13:29:00.200000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022091100.762,2022091100,762,37101,Mark Ingram,"(4:52) (Shotgun) M.Ingram right guard to ATL 30 for 6 yards (T.Horne, M.Dickerson).",1,3,3,NO,ATL,ATL,36,4:52,3,7,,,,6,6,N,46,SHOTGUN,7.0,0.85798645,0.15197432,0.84802568,-0.008042667,0.008042667,3.169559125,1.208457374,,,,,1,0,not_pass,right,2022-09-11 13:37:43.200000,0.2857142857142857,0.7142857142857143,0.0,1.0,0.0,0.0,0.5,0.5,0.0
2022091100.996,2022091100,996,39975,Cordarrelle Patterson,(15:00) (Shotgun) C.Patterson left tackle to NO 33 for 2 yards (C.Jordan).,2,3,1,ATL,NO,NO,35,15:00,3,7,,,,2,2,N,45,SHOTGUN,8.0,0.145446479,0.257660661,0.742339339,0.019991547,-0.019991547,3.195375545,0.519608905,,,,,1,0,not_pass,left,2022-09-11 13:49:21.400000,0.46153846153846156,0.5384615384615384,0.4,0.5,0.5,0.0,0.0,0.0,0.0
2022091101.109,2022091101,109,43808,Robbie  Chosen,(14:08) (Shotgun) B.Mayfield pass short right to R.Anderson pushed ob at CAR 21 for 4 yards (G.Newsome; M.Emerson).,1,3,15,CAR,CLE,CAR,17,14:08,0,0,C,-3.0,,4,4,N,27,EMPTY,5.0,0.976181746,0.495983124,0.504016876,-0.027644765,0.027644765,-1.629389809,-0.971467434,,,,,0,1,pass,right,2022-09-11 13:06:27.299999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022091101.1384,2022091101,1384,43808,Robbie  Chosen,(10:02) (Shotgun) B.Mayfield pass short middle to R.Anderson ran ob at CAR 28 for 12 yards (M.Emerson).,2,3,19,CAR,CLE,CAR,16,10:02,0,7,C,0.0,,12,12,N,94,SHOTGUN,6.0,0.918669403,0.276198886,0.723801114,-0.001024727,0.001024727,-1.267293506,0.36794276,,,,,0,1,pass,middle,2022-09-11 14:04:49.900000,0.1111111111111111,0.8888888888888888,0.0,0.25,0.75,0.0,0.3333333333333333,0.6666666666666666,0.0
2022091101.1564,2022091101,1564,46104,Nick Chubb,(6:10) (Shotgun) N.Chubb left tackle pushed ob at CAR 29 for 25 yards (J.Chinn).,2,3,2,CLE,CAR,CLE,46,6:10,0,7,,,,25,25,N,56,SHOTGUN,7.0,0.710182309,0.265257739,0.734742261,-0.068980549,0.068980549,1.400084547,2.51541333,,,,,1,0,not_pass,left,2022-09-11 14:12:26.099999,0.17647058823529413,0.8235294117647058,0.2222222222222222,0.2,0.8,0.2,0.08333333333333333,0.9166666666666666,0.16666666666666666
2022091101.1720,2022091101,1720,46093,D.J. Moore,(4:02) B.Mayfield pass short left to D.Moore to CAR 48 for 16 yards (M.Emerson).,2,3,3,CAR,CLE,CAR,32,4:02,0,14,C,13.0,,16,16,N,78,SINGLEBACK,7.0,0.877766788,0.1602268,0.8397732,0.03165637,-0.03165637,0.814782012,1.56402977,,,,,1,0,pass,left,2022-09-11 14:19:54.900000,0.09090909090909091,0.9090909090909091,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2022091101.1945,2022091101,1945,44898,Kareem Hunt,"(1:17) (Shotgun) J.Brissett pass short left to K.Hunt to CAR 39 for 24 yards (D.Brown). PENALTY on CAR-X.Woods, Low Block, 15 yards, enforced at CAR 39.",2,3,13,CLE,CAR,CLE,37,1:17,7,14,C,-3.0,15.0,24,39,N,47,SHOTGUN,5.0,0.900984764,0.275344118,0.724655882,-0.085122589,0.085122589,0.53157512,3.365113519,Low Block,,45004.0,,1,0,pass,left,2022-09-11 14:31:05.400000,0.23809523809523808,0.7619047619047619,0.5,0.25,0.75,0.5,0.0,0.0,0.0
2022091101.2341,2022091101,2341,52523,Harrison Bryant,(14:11) (Shotgun) J.Brissett pass short left to H.Bryant to CLV 39 for 10 yards (F.Luvu).,3,3,7,CLE,CAR,CLE,29,14:11,7,17,C,9.0,,10,10,N,39,SHOTGUN,6.0,0.965018988,0.195963196,0.804036804,-0.033459425,0.033459425,-0.059678629,2.295447178,,,,,1,0,pass,left,2022-09-11 14:57:48.799999,0.2692307692307692,0.7307692307692307,0.0,0.3076923076923077,0.6923076923076923,0.0,0.3333333333333333,0.6666666666666666,0.0
2022091101.2407,2022091101,2407,44898,Kareem Hunt,(12:22) (Shotgun) J.Brissett pass short right to K.Hunt to CLV 48 for 1 yard (S.Thompson; X.Woods).,3,3,2,CLE,CAR,CLE,47,12:22,7,17,C,0.0,,1,1,N,57,SHOTGUN,6.0,0.773181021,0.165759165,0.834240835,0.022936277,-0.022936277,1.843329906,-1.356892404,,,,,0,1,pass,right,2022-09-11 14:59:37.900000,0.27586206896551724,0.7241379310344828,0.6,0.35714285714285715,0.6428571428571429,0.6666666666666666,0.42857142857142855,0.5714285714285714,0.5
2022091101.251,2022091101,251,46104,Nick Chubb,(11:17) (Shotgun) N.Chubb left end to CAR 43 for 4 yards (S.Thompson).,1,3,3,CLE,CAR,CAR,47,11:17,0,0,,,,4,4,N,57,SHOTGUN,7.0,0.909555733,0.516837344,0.483162656,-0.023626253,0.023626253,1.769111065,1.310408928,,,,,1,0,not_pass,left,2022-09-11 13:11:22.900000,0.3333333333333333,0.6666666666666666,0.5,0.0,1.0,0.0,0.0,1.0,0.0
2022091101.2832,2022091101,2832,44841,David Njoku,"(3:49) (No Huddle, Shotgun) J.Brissett pass short right to D.Njoku to CLV 41 for 7 yards (C.Henderson).",3,3,9,CLE,CAR,CLE,34,3:49,7,20,C,2.0,,7,7,N,44,SINGLEBACK,7.0,0.969584346,0.110697214,0.889302786,0.000459753,-0.000459753,0.340056312,-0.80980941,,,,,0,1,pass,right,2022-09-11 15:16:54.900000,0.3055555555555556,0.6944444444444444,0.0,0.26666666666666666,0.7333333333333333,0.0,0.16666666666666666,0.8333333333333334,0.0
2022091101.2951,2022091101,2951,46170,Ian Thomas,(1:14) (Shotgun) B.Mayfield pass short right to I.Thomas to CAR 36 for 3 yards (J.Phillips).,3,3,2,CAR,CLE,CAR,33,1:14,7,20,C,2.0,,3,3,N,77,SHOTGUN,7.0,0.783283889,0.107374923,0.892625077,0.015363133,-0.015363133,0.74888294,1.14043791,,,,,1,0,pass,right,2022-09-11 15:22:46.799999,0.21052631578947367,0.7894736842105263,1.0,0.25,0.75,1.0,0.2,0.8,0.0
2022091101.3080,2022091101,3080,44820,Christian McCaffrey,(15:00) (Shotgun) C.McCaffrey right guard to CLV 24 for 9 yards (R.Harrison).,4,3,7,CAR,CLE,CLE,33,15:00,7,20,,,,9,9,N,77,SHOTGUN,6.0,0.987945795,0.139047317,0.860952683,0.023645967,-0.023645967,2.849242362,1.576606796,,,,,1,0,not_pass,right,2022-09-11 15:27:40.500000,0.23809523809523808,0.7619047619047619,0.25,0.3,0.7,0.25,0.2857142857142857,0.7142857142857143,0.3333333333333333
2022091101.3168,2022091101,3168,46070,Baker Mayfield,"(12:58) (Shotgun) B.Mayfield scrambles up the middle for 7 yards, TOUCHDOWN.",4,3,5,CAR,CLE,CLE,7,12:58,7,20,R,,,7,7,N,103,SHOTGUN,7.0,0.975086987,0.155746546,0.844253454,0.046390895,-0.046390895,4.244356895,2.755643105,,,,,1,0,not_pass,middle,2022-09-11 15:30:28.700000,0.2916666666666667,0.7083333333333334,0.0,0.38461538461538464,0.6153846153846154,0.0,0.42857142857142855,0.5714285714285714,0.0
2022091101.3263,2022091101,3263,53520,Anthony Schwartz,(11:31) (Shotgun) J.Brissett pass short right to A.Schwartz to 50 for 19 yards (D.Wilson).,4,3,4,CLE,CAR,CLE,31,11:31,14,20,C,14.0,,19,19,N,79,SHOTGUN,6.0,0.964123607,0.215284891,0.784715109,-0.070027281,0.070027281,0.330620507,2.414298034,,,,,1,0,pass,right,2022-09-11 15:36:30.400000,0.28205128205128205,0.717948717948718,0.5,0.35294117647058826,0.6470588235294118,1.0,0.4,0.6,1.0
2022091101.3399,2022091101,3399,44898,Kareem Hunt,(7:01) (Shotgun) K.Hunt up the middle to CAR 18 for -1 yards (H.Anderson).,4,3,4,CLE,CAR,CAR,17,7:01,14,20,,,,-1,-1,N,27,SHOTGUN,7.0,0.925948083,0.087274281,0.912725719,0.023653427,-0.023653427,4.117795602,-1.441273932,,,,,0,1,not_pass,middle,2022-09-11 15:41:00.099999,0.3111111111111111,0.6888888888888889,0.3333333333333333,0.3888888888888889,0.6111111111111112,0.4,0.13636363636363635,0.8636363636363636,0.0
2022091101.3591,2022091101,3591,52595,Donovan Peoples-Jones,(4:13) (Shotgun) J.Brissett pass short middle to D.Peoples-Jones to CLV 36 for 5 yards (D.Jackson).,4,3,4,CLE,CAR,CLE,31,4:13,21,23,C,4.0,,5,5,N,79,SHOTGUN,7.0,0.923046112,0.351465702,0.648534298,-0.107504267,0.107504267,0.462018657,1.163699462,,,,,1,0,pass,middle,2022-09-11 15:53:13.000000,0.2857142857142857,0.7142857142857143,0.0,0.35,0.65,0.0,0.12,0.88,0.0
2022091101.3961,2022091101,3961,44820,Christian McCaffrey,(1:20) (Shotgun) C.McCaffrey up the middle to CLV 16 for -1 yards (J.Owusu-Koramoah).,4,3,11,CAR,CLE,CLE,15,1:20,21,23,,,,-1,-1,N,95,SHOTGUN,6.0,0.889556468,0.6476271,0.3523729,-0.095613564,0.095613564,3.257479618,-0.952162495,,,,,0,1,not_pass,middle,2022-09-11 16:06:51.000000,0.36666666666666664,0.6333333333333333,0.3076923076923077,0.47058823529411764,0.5294117647058824,0.375,0.4166666666666667,0.5833333333333334,0.42857142857142855
